Date,Description,Amount,Account
2023-10-01,CONTINENTE SUPERMARKET, -€ 45.20 ,Checking
2023-10-02,UBER TRIP, -€ 12.50 ,Checking
2023-10-05,COMPANY SALARY, 1800.00 EUR ,Checking
2023-10-06,O LAURENTINA RESTAURANT, -38.00€ ,Checking
2023-10-10,NETFLIX SIGNUP, -15.99 € ,Checking
2023-10-12,PINGO DOCE SUPERMARKET, -62.30€ ,Checking
2023-10-15,GALP GAS STATION, -50.00 EUR ,Checking
2023-10-18,FITNESS GYM, -30.00€ ,Checking
2023-10-22,AMAZON PURCHASE, -85.40€ ,Checking
2023-10-28,UBER EATS, -22.10€ ,Checking
2023-11-01,CONTINENTE SUPERMARKET, -55.80€ ,Checking
2023-11-02,SPOTIFY PREMIUM, -7.99€ ,Checking
2023-11-05,COMPANY SALARY, 1800.00€ ,Checking
2023-11-08,O LAURENTINA RESTAURANT, -42.50€ ,Checking
2023-11-12,PINGO DOCE SUPERMARKET, -71.10€ ,Checking
2023-11-15,UBER TRIP, -14.20€ ,Checking
2023-11-20,CENTRAL PHARMACY, -18.30€ ,Checking
2023-11-25,ZARA CLOTHING, -112.00€ ,Checking
